VALUE;DATE;HOUR
374017;30.12.2010 0:00:00.000000;23
373875;30.12.2010 0:00:00.000000;24
373858;22.12.2010 0:00:00.000000;22
373756;08.12.2010 0:00:00.000000;17
373513;06.12.2010 0:00:00.000000;20
373185;28.12.2010 0:00:00.000000;24
373177;17.12.2010 0:00:00.000000;18
372955;08.12.2010 0:00:00.000000;13
372946;17.12.2010 0:00:00.000000;15
372929;08.12.2010 0:00:00.000000;12
372849;08.12.2010 0:00:00.000000;19
372698;29.12.2010 0:00:00.000000;9
372596;08.12.2010 0:00:00.000000;20
372584;22.12.2010 0:00:00.000000;8
372384;03.12.2010 0:00:00.000000;18
372045;21.12.2010 0:00:00.000000;24
372034;09.12.2010 0:00:00.000000;21
371909;31.12.2010 0:00:00.000000;13
371891;31.12.2010 0:00:00.000000;1
371842;22.12.2010 0:00:00.000000;21
371835;31.12.2010 0:00:00.000000;20
371806;14.12.2010 0:00:00.000000;11
371801;02.12.2010 0:00:00.000000;19
371723;09.12.2010 0:00:00.000000;16
371573;13.12.2010 0:00:00.000000;12
371499;17.12.2010 0:00:00.000000;21
371490;17.12.2010 0:00:00.000000;17
371489;14.12.2010 0:00:00.000000;12
371486;09.12.2010 0:00:00.000000;15
371453;30.12.2010 0:00:00.000000;1
371427;17.12.2010 0:00:00.000000;16
371393;09.12.2010 0:00:00.000000;13
371363;13.12.2010 0:00:00.000000;15
371256;31.12.2010 0:00:00.000000;17
371230;14.12.2010 0:00:00.000000;20
371123;13.12.2010 0:00:00.000000;14
371085;14.12.2010 0:00:00.000000;19
370995;09.12.2010 0:00:00.000000;14
370978;13.12.2010 0:00:00.000000;11
370875;06.12.2010 0:00:00.000000;11
370674;31.12.2010 0:00:00.000000;21
370671;13.12.2010 0:00:00.000000;13
370598;10.12.2010 0:00:00.000000;21
370579;14.12.2010 0:00:00.000000;13
370158;13.12.2010 0:00:00.000000;16
370139;22.12.2010 0:00:00.000000;23
370078;14.12.2010 0:00:00.000000;14
370068;07.12.2010 0:00:00.000000;21
370064;08.12.2010 0:00:00.000000;21
370055;14.12.2010 0:00:00.000000;18
369967;30.01.2010 0:00:00.000000;8
369919;26.01.2010 0:00:00.000000;11
369896;29.11.2010 0:00:00.000000;15
369813;06.12.2010 0:00:00.000000;22
369811;09.12.2010 0:00:00.000000;20
369736;06.12.2010 0:00:00.000000;21
369670;09.12.2010 0:00:00.000000;10
369668;14.12.2010 0:00:00.000000;21
369646;31.12.2010 0:00:00.000000;22
369557;29.11.2010 0:00:00.000000;19
369536;30.01.2010 0:00:00.000000;4
369489;20.12.2010 0:00:00.000000;7
369466;22.12.2010 0:00:00.000000;1
369423;14.12.2010 0:00:00.000000;15
369237;20.12.2010 0:00:00.000000;5
369205;31.12.2010 0:00:00.000000;10
369178;17.12.2010 0:00:00.000000;22
368987;10.12.2010 0:00:00.000000;9
368973;29.11.2010 0:00:00.000000;22
368809;29.11.2010 0:00:00.000000;18
368800;14.12.2010 0:00:00.000000;10
368770;26.01.2010 0:00:00.000000;12
368695;29.11.2010 0:00:00.000000;12
368614;13.12.2010 0:00:00.000000;17
368607;21.12.2010 0:00:00.000000;9
368532;09.12.2010 0:00:00.000000;19
368529;29.11.2010 0:00:00.000000;21
368518;31.12.2010 0:00:00.000000;14
368298;29.11.2010 0:00:00.000000;16
368231;29.11.2010 0:00:00.000000;20
368067;13.12.2010 0:00:00.000000;19
367934;22.12.2010 0:00:00.000000;7
367750;29.11.2010 0:00:00.000000;11
367640;29.11.2010 0:00:00.000000;14
367600;13.12.2010 0:00:00.000000;18
367511;30.01.2010 0:00:00.000000;5
367456;07.12.2010 0:00:00.000000;22
367381;08.12.2010 0:00:00.000000;22
367340;29.12.2010 0:00:00.000000;1
367225;21.12.2010 0:00:00.000000;8
367126;13.12.2010 0:00:00.000000;10
367123;20.12.2010 0:00:00.000000;4
367021;08.12.2010 0:00:00.000000;9
366977;09.12.2010 0:00:00.000000;22
366898;14.12.2010 0:00:00.000000;17
366871;30.01.2010 0:00:00.000000;7
366752;29.11.2010 0:00:00.000000;13
366747;30.01.2010 0:00:00.000000;6
366457;13.12.2010 0:00:00.000000;20
366185;29.11.2010 0:00:00.000000;17
366119;20.12.2010 0:00:00.000000;6
366058;31.12.2010 0:00:00.000000;15
365977;14.12.2010 0:00:00.000000;22
365957;07.12.2010 0:00:00.000000;23
365917;31.12.2010 0:00:00.000000;23
365665;13.12.2010 0:00:00.000000;21
365627;31.12.2010 0:00:00.000000;16
365452;15.02.2010 0:00:00.000000;16
365367;26.01.2010 0:00:00.000000;10
365313;30.01.2010 0:00:00.000000;12
364925;13.12.2010 0:00:00.000000;22
364914;14.12.2010 0:00:00.000000;16
364821;30.11.2010 0:00:00.000000;10
364376;17.12.2010 0:00:00.000000;9
364350;17.12.2010 0:00:00.000000;23
364300;29.11.2010 0:00:00.000000;23
364276;26.01.2010 0:00:00.000000;13
364197;14.12.2010 0:00:00.000000;23
364169;08.12.2010 0:00:00.000000;23
364058;14.12.2010 0:00:00.000000;24
363771;27.01.2010 0:00:00.000000;15
363709;20.12.2010 0:00:00.000000;3
363658;15.02.2010 0:00:00.000000;17
363523;15.02.2010 0:00:00.000000;15
363357;29.11.2010 0:00:00.000000;10
363130;15.02.2010 0:00:00.000000;14
363095;13.12.2010 0:00:00.000000;23
362987;27.01.2010 0:00:00.000000;11
362901;13.12.2010 0:00:00.000000;24
362783;15.02.2010 0:00:00.000000;12
362659;17.12.2010 0:00:00.000000;24
362600;27.01.2010 0:00:00.000000;14
362491;09.12.2010 0:00:00.000000;9
362433;27.01.2010 0:00:00.000000;16
362420;21.12.2010 0:00:00.000000;1
362311;31.12.2010 0:00:00.000000;24
362024;27.01.2010 0:00:00.000000;12
361903;22.12.2010 0:00:00.000000;2
361888;27.01.2010 0:00:00.000000;20
361855;03.12.2010 0:00:00.000000;11
361844;27.01.2010 0:00:00.000000;13
361639;22.12.2010 0:00:00.000000;6
361525;21.12.2010 0:00:00.000000;7
361466;03.12.2010 0:00:00.000000;12
361436;03.12.2010 0:00:00.000000;22
361346;15.02.2010 0:00:00.000000;13
361306;21.12.2010 0:00:00.000000;2
361291;28.01.2010 0:00:00.000000;12
361189;22.12.2010 0:00:00.000000;4
360944;26.01.2010 0:00:00.000000;15
360875;27.01.2010 0:00:00.000000;10
360822;20.12.2010 0:00:00.000000;24
360653;26.01.2010 0:00:00.000000;14
360615;27.01.2010 0:00:00.000000;18
360542;26.01.2010 0:00:00.000000;16
360374;27.01.2010 0:00:00.000000;19
360242;28.01.2010 0:00:00.000000;14
360063;15.02.2010 0:00:00.000000;18
360058;03.12.2010 0:00:00.000000;16
359962;03.12.2010 0:00:00.000000;13
359956;28.01.2010 0:00:00.000000;13
359907;15.02.2010 0:00:00.000000;19
359906;29.11.2010 0:00:00.000000;24
359903;03.12.2010 0:00:00.000000;15
359711;29.01.2010 0:00:00.000000;12
359701;22.12.2010 0:00:00.000000;5
359680;22.12.2010 0:00:00.000000;3
359499;28.01.2010 0:00:00.000000;11
359485;26.01.2010 0:00:00.000000;22
359365;26.01.2010 0:00:00.000000;23
359278;15.02.2010 0:00:00.000000;11
359234;21.12.2010 0:00:00.000000;3
359100;27.01.2010 0:00:00.000000;21
359095;28.01.2010 0:00:00.000000;10
358893;26.01.2010 0:00:00.000000;20
358776;27.01.2010 0:00:00.000000;17
358732;26.01.2010 0:00:00.000000;19
358665;19.02.2010 0:00:00.000000;12
358621;15.02.2010 0:00:00.000000;20
358607;28.01.2010 0:00:00.000000;15
358598;03.12.2010 0:00:00.000000;14
358437;29.01.2010 0:00:00.000000;15
358139;27.01.2010 0:00:00.000000;22
358126;26.01.2010 0:00:00.000000;21
358080;26.01.2010 0:00:00.000000;17
358075;28.01.2010 0:00:00.000000;16
358012;27.01.2010 0:00:00.000000;9
357860;16.02.2010 0:00:00.000000;12
357818;28.01.2010 0:00:00.000000;22
357797;26.01.2010 0:00:00.000000;9
357771;15.02.2010 0:00:00.000000;21
357698;29.01.2010 0:00:00.000000;13
357692;27.01.2010 0:00:00.000000;23
357567;08.02.2010 0:00:00.000000;11
357469;29.01.2010 0:00:00.000000;14
357332;26.01.2010 0:00:00.000000;18
357323;28.01.2010 0:00:00.000000;19
357188;30.01.2010 0:00:00.000000;9
357011;28.01.2010 0:00:00.000000;20
356927;15.02.2010 0:00:00.000000;22
356857;19.02.2010 0:00:00.000000;13
356823;30.01.2010 0:00:00.000000;10
356754;19.02.2010 0:00:00.000000;14
356741;29.01.2010 0:00:00.000000;11
356740;26.11.2010 0:00:00.000000;12
356694;19.02.2010 0:00:00.000000;15
356635;26.11.2010 0:00:00.000000;15
356555;20.02.2010 0:00:00.000000;21
356491;19.02.2010 0:00:00.000000;11
356457;29.01.2010 0:00:00.000000;17
356397;23.12.2010 0:00:00.000000;19
356372;28.01.2010 0:00:00.000000;18
356356;23.12.2010 0:00:00.000000;20
356347;28.01.2010 0:00:00.000000;17
356299;26.11.2010 0:00:00.000000;11
356272;03.02.2010 0:00:00.000000;12
356254;30.01.2010 0:00:00.000000;11
356249;16.02.2010 0:00:00.000000;13
356230;16.02.2010 0:00:00.000000;11
356228;08.02.2010 0:00:00.000000;14
356224;29.01.2010 0:00:00.000000;10
356224;31.12.2010 0:00:00.000000;2
356193;01.12.2010 0:00:00.000000;12
356157;28.12.2010 0:00:00.000000;16
356131;15.02.2010 0:00:00.000000;10
356066;03.02.2010 0:00:00.000000;11
356064;26.01.2010 0:00:00.000000;24
355995;18.02.2010 0:00:00.000000;16
355992;19.02.2010 0:00:00.000000;9
355978;21.12.2010 0:00:00.000000;4
355940;28.01.2010 0:00:00.000000;9
355939;03.11.2010 0:00:00.000000;20
355932;08.02.2010 0:00:00.000000;13
355901;01.12.2010 0:00:00.000000;11
355871;03.11.2010 0:00:00.000000;21
355863;16.02.2010 0:00:00.000000;16
355850;27.01.2010 0:00:00.000000;24
355791;16.02.2010 0:00:00.000000;10
355735;20.02.2010 0:00:00.000000;20
355721;08.02.2010 0:00:00.000000;12
355695;24.02.2010 0:00:00.000000;21
355665;05.02.2010 0:00:00.000000;12
355665;03.12.2010 0:00:00.000000;10
355643;16.02.2010 0:00:00.000000;15
355613;19.02.2010 0:00:00.000000;16
355480;26.11.2010 0:00:00.000000;16
355451;19.02.2010 0:00:00.000000;10
355438;02.02.2010 0:00:00.000000;20
355438;16.02.2010 0:00:00.000000;14
355362;08.02.2010 0:00:00.000000;16
355321;24.02.2010 0:00:00.000000;11
355290;18.02.2010 0:00:00.000000;15
355287;08.02.2010 0:00:00.000000;15
355202;08.02.2010 0:00:00.000000;10
355199;26.01.2010 0:00:00.000000;8
355182;21.12.2010 0:00:00.000000;6
355171;26.11.2010 0:00:00.000000;17
355064;18.02.2010 0:00:00.000000;17
355022;15.02.2010 0:00:00.000000;23
354953;28.01.2010 0:00:00.000000;21
354934;05.02.2010 0:00:00.000000;11
354932;18.02.2010 0:00:00.000000;22
354897;18.02.2010 0:00:00.000000;20
354854;07.12.2010 0:00:00.000000;8
354843;29.01.2010 0:00:00.000000;16
354839;24.02.2010 0:00:00.000000;12
354816;18.02.2010 0:00:00.000000;12
354815;19.02.2010 0:00:00.000000;19
354809;03.02.2010 0:00:00.000000;10
354780;16.02.2010 0:00:00.000000;19
354724;08.02.2010 0:00:00.000000;18
354718;26.11.2010 0:00:00.000000;13
354717;26.11.2010 0:00:00.000000;14
354505;18.02.2010 0:00:00.000000;11
354493;19.02.2010 0:00:00.000000;17
354395;08.02.2010 0:00:00.000000;17
354372;14.12.2010 0:00:00.000000;9
354333;18.02.2010 0:00:00.000000;21
354328;18.02.2010 0:00:00.000000;10
354274;16.02.2010 0:00:00.000000;20
354247;01.12.2010 0:00:00.000000;13
354228;05.02.2010 0:00:00.000000;10
354219;19.02.2010 0:00:00.000000;18
354203;02.11.2010 0:00:00.000000;14
354128;28.01.2010 0:00:00.000000;23
354082;23.12.2010 0:00:00.000000;21
354016;18.02.2010 0:00:00.000000;14
353993;02.12.2010 0:00:00.000000;20
353952;03.02.2010 0:00:00.000000;13
353904;02.02.2010 0:00:00.000000;21
353847;24.02.2010 0:00:00.000000;10
353804;30.12.2010 0:00:00.000000;2
353776;09.02.2010 0:00:00.000000;11
353768;24.02.2010 0:00:00.000000;20
353768;02.12.2010 0:00:00.000000;12
353702;02.11.2010 0:00:00.000000;13
353683;01.12.2010 0:00:00.000000;14
353624;16.02.2010 0:00:00.000000;17
353615;22.01.2010 0:00:00.000000;18
353608;05.02.2010 0:00:00.000000;13
353596;01.12.2010 0:00:00.000000;15
353568;02.11.2010 0:00:00.000000;15
353546;27.01.2010 0:00:00.000000;8
353537;18.02.2010 0:00:00.000000;18
353537;18.02.2010 0:00:00.000000;19
353481;21.12.2010 0:00:00.000000;5
353436;03.02.2010 0:00:00.000000;19
353436;15.02.2010 0:00:00.000000;9
353435;16.02.2010 0:00:00.000000;9
353379;20.02.2010 0:00:00.000000;18
353352;19.02.2010 0:00:00.000000;20
353316;16.02.2010 0:00:00.000000;18
353310;04.11.2010 0:00:00.000000;16
353306;19.02.2010 0:00:00.000000;22
353286;24.02.2010 0:00:00.000000;17
353176;22.01.2010 0:00:00.000000;11
353169;17.02.2010 0:00:00.000000;12
353143;20.02.2010 0:00:00.000000;19
353136;02.02.2010 0:00:00.000000;19
353105;18.02.2010 0:00:00.000000;13
353058;27.10.2010 0:00:00.000000;17
353041;31.12.2010 0:00:00.000000;9
353004;17.02.2010 0:00:00.000000;14
353000;17.02.2010 0:00:00.000000;16
352993;22.01.2010 0:00:00.000000;19
352959;18.02.2010 0:00:00.000000;24
352930;03.11.2010 0:00:00.000000;17
352906;18.02.2010 0:00:00.000000;23
352881;17.02.2010 0:00:00.000000;10
352863;28.01.2010 0:00:00.000000;8
352861;08.02.2010 0:00:00.000000;19
352854;05.02.2010 0:00:00.000000;15
352820;26.11.2010 0:00:00.000000;18
352814;29.12.2010 0:00:00.000000;2
352800;09.02.2010 0:00:00.000000;12
352767;19.02.2010 0:00:00.000000;21
352756;06.12.2010 0:00:00.000000;10
352739;05.02.2010 0:00:00.000000;16
352710;17.02.2010 0:00:00.000000;11
352615;03.11.2010 0:00:00.000000;14
352538;24.02.2010 0:00:00.000000;19
352488;25.01.2010 0:00:00.000000;14
352481;14.02.2010 0:00:00.000000;22
352465;27.01.2010 0:00:00.000000;1
352413;20.02.2010 0:00:00.000000;22
352364;22.01.2010 0:00:00.000000;10
352359;05.02.2010 0:00:00.000000;14
352345;17.02.2010 0:00:00.000000;13
352298;17.02.2010 0:00:00.000000;21
352296;20.10.2010 0:00:00.000000;12
352295;03.02.2010 0:00:00.000000;9
352292;17.02.2010 0:00:00.000000;17
352289;25.02.2010 0:00:00.000000;11
352266;10.12.2010 0:00:00.000000;8
352262;05.02.2010 0:00:00.000000;19
352235;25.01.2010 0:00:00.000000;23
352218;02.12.2010 0:00:00.000000;21
352201;14.02.2010 0:00:00.000000;20
352108;05.02.2010 0:00:00.000000;20
352089;25.01.2010 0:00:00.000000;24
352080;17.02.2010 0:00:00.000000;20
352068;17.02.2010 0:00:00.000000;15
352064;20.12.2010 0:00:00.000000;2
352025;07.12.2010 0:00:00.000000;7
351988;22.01.2010 0:00:00.000000;17
351977;03.02.2010 0:00:00.000000;20
351947;26.11.2010 0:00:00.000000;19
351940;15.02.2010 0:00:00.000000;24
351932;14.02.2010 0:00:00.000000;21
351900;20.10.2010 0:00:00.000000;11
351883;28.01.2010 0:00:00.000000;24
351876;25.01.2010 0:00:00.000000;22
351868;20.10.2010 0:00:00.000000;14
351853;01.12.2010 0:00:00.000000;16
351812;22.01.2010 0:00:00.000000;20
351645;22.01.2010 0:00:00.000000;16
351640;22.01.2010 0:00:00.000000;24
351639;25.01.2010 0:00:00.000000;15
351639;02.02.2010 0:00:00.000000;22
351603;04.11.2010 0:00:00.000000;19
351597;17.02.2010 0:00:00.000000;19
351547;17.11.2010 0:00:00.000000;22
351520;04.02.2010 0:00:00.000000;10
351517;22.01.2010 0:00:00.000000;12
351517;20.10.2010 0:00:00.000000;10
351512;29.01.2010 0:00:00.000000;9
351508;20.10.2010 0:00:00.000000;13
351487;25.02.2010 0:00:00.000000;10
351471;09.02.2010 0:00:00.000000;10
351465;08.12.2010 0:00:00.000000;8
351461;27.01.2010 0:00:00.000000;4
